Coal: Production*,,,,,,,,,,,Contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contents
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth rate per annum,,Share,,
Exajoules,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019,,
Pakistan,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.06,0.06,0.07,0.08,0.07,0.07,0.07,0.06,0.06,0.06,0.06,0.06,0.06,0.08,0.08,0.08,0.12,45.9%,0.9%,0.1%,,
South Korea,0.37,0.37,0.37,0.39,0.42,0.45,0.45,0.45,0.38,0.32,0.28,0.23,0.18,0.14,0.11,0.09,0.09,0.08,0.08,0.08,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,-9.4%,-7.9%,?,,
Thailand,0.02,0.02,0.02,0.03,0.06,0.06,0.08,0.09,0.11,0.15,0.17,0.19,0.19,0.22,0.23,0.27,0.29,0.25,0.24,0.22,0.24,0.24,0.22,0.23,0.25,0.22,0.21,0.20,0.20,0.21,0.25,0.20,0.20,0.19,0.16,0.18,0.17,0.16,0.15,-6.1%,-2.4%,0.1%,,
Vietnam,0.14,0.15,0.15,0.12,0.13,0.14,0.15,0.14,0.12,0.12,0.12,0.12,0.15,0.14,0.19,0.23,0.27,0.27,0.22,0.27,0.31,0.38,0.45,0.64,0.80,0.91,0.99,0.93,1.03,1.05,1.09,0.98,0.96,0.96,0.97,0.90,0.90,0.98,1.08,10.2%,0.6%,0.6%,,
Other Asia Pacific,1.18,1.24,1.25,1.28,1.33,1.31,1.28,1.25,1.23,1.16,1.13,0.98,0.91,0.84,0.79,0.70,0.69,0.62,0.70,0.76,0.78,0.75,0.78,0.83,0.92,0.94,0.87,0.93,0.81,0.87,0.93,0.96,0.98,0.99,1.06,1.33,1.14,1.39,1.42,2.2%,4.1%,0.8%,,
Total Asia Pacific,20.86,21.92,23.19,25.10,27.77,28.74,29.89,31.11,33.36,34.32,34.99,36.20,37.15,39.24,42.54,44.06,44.68,43.70,44.91,46.73,49.62,52.57,59.56,67.94,75.10,80.43,86.45,90.24,93.74,100.44,110.16,112.76,116.71,116.29,115.24,110.08,112.41,119.98,124.72,4.0%,2.9%,74.4%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total World,77.26,79.98,79.72,83.21,87.42,89.49,91.17,93.38,95.02,94.79,92.22,92.05,89.27,91.32,94.10,95.38,96.79,95.05,95.07,96.48,100.57,101.79,109.25,118.72,126.18,132.62,138.44,142.95,142.89,150.82,161.84,163.70,166.64,166.05,161.68,153.30,157.16,165.06,167.58,1.5%,1.4%,100.0%,,
of which: OECD,40.99,42.16,40.54,41.92,43.92,44.59,44.98,45.40,45.72,45.48,43.61,42.92,40.49,41.63,41.96,42.52,43.54,43.11,42.25,41.30,42.60,41.59,41.08,41.98,42.58,43.28,43.14,43.47,41.04,41.85,41.92,41.14,40.95,41.86,38.84,35.19,35.66,35.67,33.90,-5.0%,-2.0%,20.2%,,
                 Non-OECD,36.27,37.82,39.18,41.29,43.49,44.90,46.19,47.98,49.30,49.31,48.60,49.13,48.79,49.68,52.14,52.86,53.24,51.93,52.82,55.17,57.97,60.19,68.18,76.74,83.60,89.34,95.30,99.48,101.86,108.97,119.92,122.56,125.69,124.19,122.84,118.11,121.50,129.39,133.68,3.3%,2.7%,79.8%,,
                 European Union #,18.06,18.85,18.52,16.86,18.39,18.70,18.34,18.14,17.38,15.73,14.48,13.66,12.55,11.61,11.72,11.42,11.26,10.00,9.55,9.08,8.98,8.90,8.83,8.50,8.28,8.08,7.82,7.48,7.02,6.93,7.05,7.03,6.58,6.29,6.05,5.55,5.47,5.28,4.59,-13.2%,-3.4%,2.7%,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" * Commercial solid fuels only, i.e. bituminous coal and anthracite (hard coal), and lignite and brown (sub-bituminous) coal, and other commercial solid fuels. Includes coal produced for Coal-to-Liquids and Coal-to-Gas transformations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ^ Less than 0.005.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w Less than 0.05%.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 n/a not available.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"USSR includes CIS, Georgia, Ukraine and the Baltic States.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" # Excludes Estonia, Latvia and Lithuania prior to 1985 and Croatia and Slovenia prior to 1990.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: Annual changes and shares of total are calculated using exajoules figures.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
